# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1751229340557000000,1751229345828000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1751229340557000000,1751229345828000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.entities.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1751229340557000000,1751229345828000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1751229340557000000,1751229345828000000,0
workspaceModel.load.cache.from.file.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1751229340557000000,1751229345828000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1751229340557000000,1751229345828000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1751229340557000000,1751229345828000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1751229340557000000,1751229345828000000,0
workspaceModel.save.cache.to.file.ms,1751229340557000000,1751229345828000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1751229340557000000,1751229345828000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1751229340557000000,1751229345828000000,0
NonBlockingReadAction.finalizedExecutionsCount,1751229340557000000,1751229345828000000,15
AWTEventQueue.dispatchTimeTotalNS,1751229340557000000,1751229345828000000,4366966648
NonBlockingReadAction.failedExecutionTimeUs,1751229340557000000,1751229345828000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1751229340557000000,1751229345828000000,162915
NonBlockingReadAction.failedExecutionsCount,1751229340557000000,1751229345828000000,0
FileNameCache.totalMisses,1751229340557000000,1751229345828000000,12
FileNameCache.fastMisses,1751229340557000000,1751229345828000000,12
FileNameCache.queries,1751229340557000000,1751229345828000000,246
workspaceModel.updates.precise.ms,1751229340557000000,1751229345828000000,0
workspaceModel.loading.from.cache.ms,1751229340557000000,1751229345828000000,6
workspaceModel.initializing.ms,1751229340557000000,1751229345828000000,0
workspaceModel.collect.changes.ms,1751229340557000000,1751229345828000000,0
workspaceModel.pre.handlers.ms,1751229340557000000,1751229345828000000,0
workspaceModel.to.snapshot.ms,1751229340557000000,1751229345828000000,0
workspaceModel.init.bridges.ms,1751229340557000000,1751229345828000000,0
workspaceModel.loading.total.ms,1751229340557000000,1751229345828000000,9
workspaceModel.updates.ms,1751229340557000000,1751229345828000000,0
workspaceModel.check.recursive.update.ms,1751229340557000000,1751229345828000000,0
workspaceModel.update.unloaded.entities.ms,1751229340557000000,1751229345828000000,0
workspaceModel.updates.count,1751229340557000000,1751229345828000000,0
workspaceModel.replace.project.model.ms,1751229340557000000,1751229345828000000,0
DirectByteBufferAllocator.misses,1751229340557000000,1751229345828000000,226
FilePageCache.totalPageLoadsUs,1751229340557000000,1751229345828000000,53533
StorageLockContext.competingThreads.max,1751229340557000000,1751229345828000000,0
FilePageCache.maxRegisteredFiles,1751229340557000000,1751229345828000000,834
FilePageCache.capacityInBytes,1751229340557000000,1751229345828000000,524288000
FilePageCache.maxCacheSizeInBytes,1751229340557000000,1751229345828000000,244334592
DirectByteBufferAllocator.hits,1751229340557000000,1751229345828000000,3
FilePageCache.disposedBuffers,1751229340557000000,1751229345828000000,229
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1751229340557000000,1751229345828000000,52445184
FilePageCache.pageLoadsAboveSizeThreshold,1751229340557000000,1751229345828000000,0
DirectByteBufferAllocator.reclaimed,1751229340557000000,1751229345828000000,46
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1751229340557000000,1751229345828000000,52445184
FilePageCache.totalPageDisposalsUs,1751229340557000000,1751229345828000000,185
DirectByteBufferAllocator.disposed,1751229340557000000,1751229345828000000,183
FilePageCache.pageLoads,1751229340557000000,1751229345828000000,229
StorageLockContext.competingThreads.avg,1751229340557000000,1751229345828000000,0.0
FilePageCache.pageFastCacheHits,1751229340557000000,1751229345828000000,15655
FilePageCache.pageHits,1751229340557000000,1751229345828000000,0
FilePageCache.uncachedFileAccess,1751229340557000000,1751229345828000000,361
StorageLockContext.competingThreads.90P,1751229340557000000,1751229345828000000,0
